event.master_deck,event.relics,event.victory,event.character_chosen,event.items_purchased,event.ascension_level,event.gold_per_floor,event.potions_obtained
"[""Defend_G"",""Defend_G"",""Strike_G"",""Survivor"",""Neutralize"",""Backflip"",""Slice"",""Infinite Blades+1"",""Doubt"",""Glass Knife"",""Blade Dance+1"",""Backflip"",""Quick Slash"",""Sucker Punch+1"",""Corpse Explosion"",""Accuracy+1"",""Accuracy+1"",""Finisher+1"",""Backflip+1"",""Blur+1"",""Blade Dance+1"",""Dodge and Roll+1"",""Blade Dance+1"",""Dagger Throw"",""Blade Dance+1"",""Infinite Blades+1"",""Cloak And Dagger+1"",""Prepared"",""Finesse+1"",""Deflect+1"",""Accuracy+1"",""Cloak And Dagger""]","[""Ring of the Snake"",""NeowsBlessing"",""Mummified Hand"",""Matryoshka"",""Snake Skull"",""Pantograph"",""Blood Vial"",""Dead Branch"",""Mercury Hourglass"",""Black Star"",""Kunai"",""Happy Flower"",""Prayer Wheel"",""Pear"",""Incense Burner"",""Empty Cage"",""MawBank"",""Meat on the Bone"",""Bronze Scales"",""Strawberry"",""Dodecahedron""]",true,THE_SILENT,"[""Slice"",""Infinite Blades"",""Accuracy"",""Finisher"",""Blade Dance"",""Poison Potion""]",3,"[111,88,7,7,182,182,216,216,216,236,261,261,286,299,299,402,402,385,158,177,177,77,102,192,192,192,14,14,43,43,58,58,159,159,178,195,215,230,80,80,80,80,80,121,133,145,157,182,194,206,218,230,18,50,50]","[{""floor"":7,""key"":""FearPotion""},{""floor"":10,""key"":""Weak Potion""},{""floor"":14,""key"":""SpeedPotion""},{""floor"":16,""key"":""Ancient Potion""},{""floor"":18,""key"":""Poison Potion""},{""floor"":20,""key"":""SteroidPotion""},{""floor"":23,""key"":""FearPotion""}]"
"[""AscendersBane"",""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash"",""Whirlwind"",""Flex""]","[""Burning Blood""]",false,IRONCLAD,"[""Flex""]",20,"[359,509,434,452,324,324,324]","[{""floor"":4,""key"":""Energy Potion""}]"
"[""AscendersBane"",""Strike_R+1"",""Strike_R+1"",""Strike_R+1"",""Strike_R+1"",""Strike_R+1"",""Defend_R+1"",""Defend_R+1"",""Defend_R+1"",""Defend_R+1"",""Bash+1"",""Twin Strike"",""Armaments+1"",""Wild Strike"",""Perfected Strike+1"",""Pommel Strike"",""Barricade+1"",""Juggernaut"",""Intimidate"",""Perfected Strike"",""Warcry"",""Clothesline"",""Feel No Pain"",""Entrench"",""Exhume"",""Spot Weakness""]","[""Burning Blood"",""NeowsBlessing"",""Omamori"",""Oddly Smooth Stone"",""Ginger"",""Ornamental Fan"",""Dead Branch"",""Busted Crown"",""Self Forming Clay"",""Dodecahedron"",""Pocketwatch"",""Strange Spoon""]",false,IRONCLAD,"[""Dead Branch"",""Strange Spoon"",""Exhume""]",18,"[113,188,188,206,206,206,240,258,311,366,395,73,73,88,88,161,161,172,172,184,201,221,221,252,252,252,270,299,3,3,3,3,3,3]","[{""floor"":1.0,""key"":""Poison Potion""},{""floor"":3.0,""key"":""SkillPotion""},{""floor"":11.0,""key"":""Dexterity Potion""},{""floor"":22.0,""key"":""Strength Potion""},{""floor"":27,""key"":""Regen Potion""},{""floor"":28,""key"":""BloodPotion""}]"
"[""AscendersBane"",""Strike_R+1"",""Strike_R+1"",""Defend_R+1"",""Defend_R"",""Defend_R"",""Defend_R+1"",""Bash"",""Inflame+1"",""Corruption+1"",""Battle Trance+1"",""Carnage+1"",""Shrug It Off"",""Exhume"",""Second Wind+1"",""Shrug It Off"",""Exhume"",""Disarm+1"",""Corruption+1"",""PiercingWail+1"",""Expertise"",""Machine Learning+1"",""Leap+1"",""Outmaneuver"",""Deadly Poison"",""Intimidate+1"",""Heatsinks+1"",""Coolheaded"",""Feel No Pain"",""True Grit"",""Flex""]","[""Burning Blood"",""Dead Branch"",""Strawberry"",""Matryoshka"",""Tiny Chest"",""Pen Nib"",""The Courier"",""War Paint"",""Orrery"",""PrismaticShard"",""Bottled Flame"",""Smiling Mask"",""Snecko Eye"",""Vajra"",""Sling"",""Pantograph"",""Potion Belt"",""Lantern"",""Girya"",""Ginger"",""Whetstone""]",true,IRONCLAD,"[""PrismaticShard"",""Sling"",""Pantograph"",""Potion Belt"",""Lantern"",""Dexterity Potion"",""Swift Potion"",""Feel No Pain"",""Regen Potion"",""True Grit""]",20,"[13,13,13,13,13,13,43,43,73,100,115,136,136,156,156,249,249,269,24,24,24,24,24,65,65,88,88,102,102,125,138,138,233,233,257,590,590,601,601,601,612,639,690,690,3,103,138,152,152,152,152,152,152,9,38,38]","[{""floor"":7,""key"":""Strength Potion""},{""floor"":12,""key"":""Strength Potion""},{""floor"":16,""key"":""PowerPotion""},{""floor"":30,""key"":""SpeedPotion""},{""floor"":31,""key"":""SpeedPotion""},{""floor"":33,""key"":""Regen Potion""},{""floor"":46,""key"":""Fire Potion""},{""floor"":55,""key"":""FairyPotion""}]"
"[""AscendersBane"",""Strike_B"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap+1"",""Dualcast"",""Auto Shields"",""Cold Snap"",""Redo+1"",""Coolheaded"",""Conserve Battery"",""Glacier"",""Chill"",""Chaos"",""Thunder Strike"",""Cold Snap"",""Echo Form"",""Decay""]","[""Cracked Core"",""NeowsBlessing"",""MawBank"",""Lantern"",""Runic Pyramid""]",false,DEFECT,"[""Redo"",""Coolheaded"",""Thunder Strike""]",13,"[109,119,47,57,74,74,91,91,91,133,155,11,11,23,23,94,94,4,4,4,4,20,20,36,36,36]","[{""floor"":1.0,""key"":""Dexterity Potion""},{""floor"":7.0,""key"":""SteroidPotion""},{""floor"":10.0,""key"":""GamblersBrew""},{""floor"":16.0,""key"":""Strength Potion""}]"
"[""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Survivor"",""Bane"",""Noxious Fumes"",""Footwork+1"",""Prepared"",""Bouncing Flask"",""Leg Sweep"",""Noxious Fumes+1"",""Poisoned Stab"",""Flash of Steel"",""Caltrops"",""Malaise"",""Caltrops+1"",""Terror"",""Footwork"",""Blur"",""Backflip+1"",""Bouncing Flask"",""Leg Sweep+1"",""Tools of the Trade"",""Caltrops+1"",""Footwork"",""Tools of the Trade"",""Backflip+1""]","[""Ring of the Snake"",""Potion Belt"",""Fusion Hammer"",""Ice Cream"",""Turnip"",""Art of War"",""Sozu""]",false,THE_SILENT,"[""Footwork"",""Flash of Steel"",""Caltrops"",""Art of War"",""Tools of the Trade""]",0,"[216,227,72,91,107,107,140,158,158,158,168,168,183,15,15,118,118,128,128,128,227,247,278,368,388,388,388,399,399,417,161,161,259,259,277,288,24,24,43,43,43,43]","[{""floor"":1,""key"":""SpeedPotion""},{""floor"":4,""key"":""Regen Potion""},{""floor"":13,""key"":""Energy Potion""},{""floor"":22,""key"":""Weak Potion""},{""floor"":23,""key"":""EssenceOfSteel""},{""floor"":25,""key"":""SteroidPotion""}]"
"[""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Survivor"",""Neutralize+1"",""Concentrate+1"",""Blur"",""Sucker Punch"",""Regret"",""Infinite Blades+1"",""Expertise"",""Escape Plan"",""Backstab""]","[""Coffee Dripper"",""Gambling Chip"",""Orichalcum"",""Prayer Wheel"",""Anchor"",""MawBank""]",false,THE_SILENT,"[""Concentrate"",""Blur""]",0,"[116,9,21,21,21,54,73,73,73,87,87,87,87,87,99,111,111]","[{""floor"":7,""key"":""FearPotion""},{""floor"":10,""key"":""Dexterity Potion""}]"
"[""AscendersBane"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast"",""Conserve Battery"",""Leap"",""Barrage+1"",""Loop+1"",""Reboot"",""BootSequence"",""Rip and Tear"",""Barrage"",""Core Surge"",""Doom and Gloom"",""Compile Driver+1"",""Self Repair""]","[""Cracked Core"",""Orichalcum"",""Pantograph"",""DataDisk"",""StoneCalendar"",""Empty Cage""]",false,DEFECT,"[""DataDisk""]",18,"[13,29,48,66,79,79,105,105,176,176,14,41,41,51,51,126,126,137,156,166,166,166]","[{""floor"":2,""key"":""FairyPotion""},{""floor"":5,""key"":""EntropicBrew""}]"
"[""AscendersBane"",""Defend_G"",""Defend_G+1"",""Defend_G"",""Defend_G"",""Defend_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Survivor"",""Neutralize+1"",""Infinite Blades"",""Poisoned Stab"",""Sucker Punch+1"",""Poisoned Stab"",""Deflect+1"",""Bane""]","[""Ring of the Snake"",""NeowsBlessing"",""Odd Mushroom"",""Boot"",""PreservedInsect"",""War Paint""]",false,THE_SILENT,[],19,"[117,130,130,146,146,146,161,184,209,209,236,161,86,120,120,120,120]","[{""floor"":2,""key"":""Fruit Juice""},{""floor"":7,""key"":""Regen Potion""},{""floor"":8,""key"":""Energy Potion""}]"
"[""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash"",""Intimidate+1"",""Pommel Strike+1"",""Seeing Red+1"",""Feel No Pain"",""Twin Strike+1"",""Double Tap"",""Seeing Red"",""Shockwave"",""Metallicize+1"",""Flame Barrier""]","[""Burning Blood"",""StoneCalendar"",""Shuriken"",""Golden Idol"",""Black Star"",""MutagenicStrength"",""Red Mask""]",false,IRONCLAD,[],0,"[111,111,125,50,60,60,75,75,75,85,85,160,160,160,160,286,286,310,334,334,353,353,353,392,392,392]","[{""floor"":5,""key"":""Regen Potion""},{""floor"":10,""key"":""Ancient Potion""},{""floor"":16,""key"":""AttackPotion""},{""floor"":24,""key"":""Dexterity Potion""}]"
"[""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Strike_G"",""Survivor+1"",""Neutralize+1"",""Dodge and Roll"",""Reflex"",""Noxious Fumes"",""Prepared"",""Burst+1"",""Leg Sweep"",""Blur"",""Quick Slash"",""Noxious Fumes"",""Envenom"",""Doppelganger"",""Dagger Spray+1"",""Skewer+1"",""Calculated Gamble+1"",""Backflip+1"",""Deflect"",""Sucker Punch+1"",""Quick Slash+1"",""Slice"",""Setup"",""Acrobatics+1"",""Dodge and Roll+1"",""Backflip+1"",""Footwork"",""Dagger Spray+1"",""Bouncing Flask+1"",""Parasite"",""Deflect+1"",""Catalyst+1""]","[""Fusion Hammer"",""Letter Opener"",""Paper Crane"",""Astrolabe"",""Oddly Smooth Stone"",""Blue Candle"",""MutagenicStrength"",""Mummified Hand"",""War Paint"",""Shuriken"",""Singing Bowl"",""Calling Bell"",""Centennial Puzzle"",""Matryoshka"",""Incense Burner"",""Ancient Tea Set"",""Anchor"",""Orichalcum"",""Boot""]",true,THE_SILENT,"[""Noxious Fumes"",""Prepared"",""Oddly Smooth Stone"",""Deflect"",""Footwork""]",1,"[113,113,123,123,29,54,54,68,68,83,96,66,78,98,98,194,194,206,225,16,35,49,82,82,82,82,111,111,136,136,153,153,256,256,268,112,112,12,23,51,51,84,130,148,23,39,53,70,70,70]","[{""floor"":8,""key"":""Block Potion""},{""floor"":12,""key"":""SmokeBomb""},{""floor"":12,""key"":""EntropicBrew""},{""floor"":14,""key"":""Explosive Potion""},{""floor"":16,""key"":""SteroidPotion""},{""floor"":19,""key"":""SpeedPotion""},{""floor"":27,""key"":""SteroidPotion""},{""floor"":29,""key"":""SpeedPotion""},{""floor"":33,""key"":""SneckoOil""},{""floor"":40,""key"":""FearPotion""},{""floor"":42,""key"":""GamblersBrew""},{""floor"":46,""key"":""Regen Potion""},{""floor"":47,""key"":""GhostInAJar""},{""floor"":48,""key"":""FairyPotion""}]"
"[""Strike_B"",""Strike_B+1"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap+1"",""Dualcast+1"",""Chaos+1"",""Melter"",""Auto Shields+1"",""Ball Lightning"",""Undo"",""Sunder+1"",""Seek+1"",""Reprogram"",""Loop+1"",""Sunder"",""Steam"",""Sweeping Beam"",""Beam Cell"",""Hello World"",""White Noise+1"",""Creative AI+1"",""Hologram+1"",""Genetic Algorithm+1"",""Hologram+1"",""Genetic Algorithm+1"",""Ball Lightning+1"",""Streamline+1"",""Defragment+1"",""Force Field+1""]","[""Cracked Core"",""Omamori"",""Oddly Smooth Stone"",""Golden Idol"",""Eternal Feather"",""Enchiridion"",""Regal Pillow"",""Blood Vial"",""Mercury Hourglass"",""Sozu"",""Red Mask"",""FossilizedHelix"",""Smiling Mask"",""Happy Flower""]",true,DEFECT,"[""Melter"",""Auto Shields"",""Omamori"",""Sunder"",""Mercury Hourglass""]",0,"[119,119,41,216,1,1,20,20,20,32,43,43,43,43,43,171,171,189,204,135,135,150,150,150,164,209,233,233,254,4,27,27,157,157,171,131,154,169,0,0,125,152,152,152,175,198,222,243,243,243]","[{""floor"":1,""key"":""Block Potion""},{""floor"":19,""key"":""Block Potion""},{""floor"":22,""key"":""Regen Potion""},{""floor"":29,""key"":""FearPotion""},{""floor"":33,""key"":""Explosive Potion""}]"
"[""AscendersBane"",""Strike_B"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap+1"",""Dualcast"",""Glacier"",""Melter"",""Double Energy"",""Beam Cell+1"",""BootSequence"",""Lockon"",""Coolheaded"",""Cold Snap"",""Streamline"",""Core Surge"",""Rip and Tear"",""Static Discharge"",""Defragment"",""Compile Driver"",""Static Discharge+1"",""Defragment+1""]","[""Cracked Core"",""Letter Opener"",""DataDisk"",""Bag of Preparation"",""Busted Crown"",""MutagenicStrength"",""Pantograph"",""Oddly Smooth Stone"",""Omamori""]",false,DEFECT,"[""DataDisk"",""Defragment"",""Defragment""]",19,"[117,117,134,152,169,169,179,198,198,26,45,65,65,90,90,161,161,171,188,145,145,145,145,172,172,172,222,240,264,264,219,219,219,219]","[{""floor"":5,""key"":""Poison Potion""},{""floor"":7,""key"":""SkillPotion""},{""floor"":8,""key"":""SkillPotion""},{""floor"":11,""key"":""SteroidPotion""},{""floor"":16,""key"":""Explosive Potion""},{""floor"":24,""key"":""AttackPotion""}]"
"[""Strike_B"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap+1"",""Dualcast"",""Sweeping Beam"",""Rebound"",""Coolheaded"",""Redo"",""Streamline"",""Rainbow"",""FTL"",""Conserve Battery"",""Echo Form"",""Steam"",""Conserve Battery"",""Leap""]","[""Cracked Core"",""NeowsBlessing"",""Letter Opener"",""Ornamental Fan"",""Sozu"",""Nilry's Codex""]",false,DEFECT,"[""Rebound""]",7,"[118,118,68,68,78,78,78,110,110,120,137,147,147,164,164,260,260,270,285,285,305,305,305]","[{""floor"":8,""key"":""Weak Potion""},{""floor"":10,""key"":""Ancient Potion""},{""floor"":11,""key"":""SkillPotion""},{""floor"":14,""key"":""Explosive Potion""}]"
"[""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash"",""Infernal Blade+1"",""Shrug It Off"",""Ghostly Armor+1"",""Juggernaut"",""Clothesline"",""Impervious"",""Shrug It Off"",""Body Slam"",""Impervious"",""Armaments+1"",""Barricade+1"",""Shrug It Off"",""Metallicize"",""Searing Blow+1"",""Shrug It Off"",""Trip"",""Barricade"",""Shrug It Off+1"",""Madness"",""Rage+1"",""Body Slam+1"",""Body Slam"",""Power Through+1"",""Doubt"",""Metallicize+1""]","[""Burning Blood"",""Strawberry"",""Gremlin Horn"",""Ectoplasm"",""Calipers"",""Centennial Puzzle"",""Dodecahedron"",""Matryoshka"",""Black Star"",""Red Skull"",""Vajra""]",true,IRONCLAD,"[""Juggernaut"",""Metallicize""]",0,"[111,125,145,162,22,22,40,74,150,163,175,192,206,220,220,321,321,321,321,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,71,71,71,71,71,71]","[{""floor"":2,""key"":""SkillPotion""},{""floor"":3,""key"":""GamblersBrew""},{""floor"":7,""key"":""SmokeBomb""},{""floor"":10,""key"":""Regen Potion""},{""floor"":13,""key"":""Dexterity Potion""},{""floor"":14,""key"":""Fire Potion""},{""floor"":19,""key"":""PowerPotion""},{""floor"":23,""key"":""PowerPotion""},{""floor"":28,""key"":""Regen Potion""},{""floor"":33,""key"":""AttackPotion""},{""floor"":36,""key"":""Explosive Potion""},{""floor"":38,""key"":""PowerPotion""},{""floor"":39,""key"":""SkillPotion""},{""floor"":42,""key"":""Strength Potion""}]"
"[""Strike_B"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast"",""Ball Lightning"",""Defragment+1"",""Rip and Tear"",""FTL"",""Barrage+1"",""Glacier+1"",""Rebound"",""All For One"",""Ball Lightning"",""Redo+1"",""Mayhem+1"",""Capacitor+1"",""Zap+1"",""Static Discharge"",""Finesse+1"",""Rip and Tear"",""Buffer"",""Self Repair+1"",""Compile Driver+1"",""Melter+1"",""Beam Cell+1"",""Electrodynamics"",""Conserve Battery+1"",""Hello World+1"",""Barrage"",""Go for the Eyes+1"",""Auto Shields+1"",""Shame"",""Enlightenment+1"",""Loop+1"",""Barrage+1"",""Sweeping Beam+1"",""Storm"",""White Noise+1"",""Discovery+1"",""Barrage+1""]","[""FrozenCore"",""NeowsBlessing"",""Meat on the Bone"",""Toxic Egg 2"",""Dream Catcher"",""Bag of Preparation"",""Orichalcum"",""Vajra"",""Sozu"",""Anchor""]",false,DEFECT,"[""Mayhem"",""Capacitor"",""Dream Catcher"",""Finesse+1"",""White Noise+1"",""Discovery+1""]",0,"[114,114,126,136,148,183,183,202,202,202,377,377,395,411,411,516,516,531,543,290,290,47,47,72,86,112,126,153,168,168,93,93,196,196,215,215,230,246,264,264,264,280,305,305,325,325,325,157,157,157,157]","[{""floor"":4,""key"":""Strength Potion""},{""floor"":5,""key"":""FocusPotion""},{""floor"":8,""key"":""Energy Potion""},{""floor"":13,""key"":""Block Potion""},{""floor"":19,""key"":""Energy Potion""},{""floor"":33,""key"":""Block Potion""}]"
"[""AscendersBane"",""Strike_R"",""Strike_R+1"",""Strike_R+1"",""Strike_R"",""Strike_R"",""Defend_R+1"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash+1"",""Clothesline"",""Flame Barrier"",""Disarm"",""Injury"",""Shrug It Off"",""Disarm"",""Uppercut"",""Inflame"",""Inflame"",""Good Instincts"",""Body Slam"",""Heavy Blade"",""Impervious"",""Juggernaut"",""Cleave"",""Metallicize"",""Armaments"",""Dual Wield"",""Immolate""]","[""Burning Blood"",""Golden Idol"",""Question Card"",""Mercury Hourglass"",""Odd Mushroom"",""Tiny House"",""Blood Vial""]",false,IRONCLAD,"[""Inflame"",""Good Instincts"",""Body Slam"",""Heavy Blade""]",12,"[113,125,140,140,140,140,164,204,204,238,252,252,28,49,49,170,233,257,257,282,298,318,318,339,339,339]","[{""floor"":2,""key"":""SpeedPotion""},{""floor"":7,""key"":""Energy Potion""},{""floor"":10,""key"":""Ancient Potion""},{""floor"":11,""key"":""Ancient Potion""},{""floor"":17,""key"":""Fire Potion""}]"
"[""AscendersBane"",""Defend_R"",""Defend_R"",""Defend_R+1"",""Defend_R"",""Bash+1"",""Cleave"",""Inflame+1"",""Whirlwind+1"",""Flex+1"",""Inflame+1"",""Heavy Blade+1"",""Havoc+1"",""Power Through+1"",""Flex+1"",""True Grit+1"",""Inflame+1"",""Sword Boomerang+1"",""True Grit+1"",""Bite"",""Bite"",""Bite"",""Bite"",""Bite"",""Offering+1"",""Rage+1""]","[""Burning Blood"",""NeowsBlessing"",""Bird Faced Urn"",""Toxic Egg 2"",""War Paint"",""Sozu"",""Pocketwatch"",""Omamori"",""Sundial"",""Black Star""]",false,IRONCLAD,"[""Pocketwatch""]",17,"[112,61,73,73,92,92,109,125,194,229,240,240,251,262,262,339,339,358,373,373,28,38,73,73,73,73,73,84,102,102,115,115,186,186,203,203,203,203,203]","[{""floor"":11,""key"":""Block Potion""},{""floor"":13,""key"":""BloodPotion""},{""floor"":16,""key"":""Energy Potion""}]"
"[""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash""]","[""Burning Blood""]",false,IRONCLAD,[],0,"[99,99]",[]
